NAMESPACE,PRODUCT,IGNORED,IGNORED_REASON,COLLECTIONS
OCS-BFC_2017_BDD_WLD_WM_WFS_23-07-2021,,true,Test data,"communes|indicateur9_2017|ocsge_58_2017_man_20p"
OCS-GERS_BDD_LAMB93_2016,,true,Test data,oscge_gers_32_2016
OCS-GERS_BDD_LAMB93_2019,,true,Test data,oscge_gers_32_2019
OFB.ZONES.EXCLUES,unknown,true,Fail to assign to an existing product,zones_exclues_aires_acceleration_eolien_terrestre
OFB.ZONES.NECESSITANT.AVIS.GESTIONNAIRE,unknown,true,Fail to assign to an existing product,zones_necessitant_avis_gestionnaire_terrestre
OFB_ZONES.EXCLUES.SAUF.TOITURE,unknown,true,Fail to assign to an existing product,zones_exclues_aires_acceleration_sauf_toiture
ORTHOIMAGERY.ORTHO-SAT.SPOT.2014.GRAPHE-MOSAIQUAGE,ORTHOIMAGERY,true,Image index dataset,france_2014
ORTHOIMAGERY.ORTHO-SAT.SPOT.2015.GRAPHE-MOSAIQUAGE,ORTHOIMAGERY,true,Image index dataset,france_2015
ORTHOIMAGERY.ORTHO-SAT.SPOT.2016.GRAPHE-MOSAIQUAGE,ORTHOIMAGERY,true,Image index dataset,france_2016
ORTHOIMAGERY.ORTHO-SAT.SPOT.2017.GRAPHE-MOSAIQUAGE,ORTHOIMAGERY,true,Image index dataset,france_2017
ORTHOIMAGERY.ORTHOPHOS.RESTRICTEDAREAS,ORTHOIMAGERY,true,Image index dataset,arrete
ORTHOIMAGERY.ORTHOPHOTOS.1950-1965.GRAPHE-MOSAIQUAGE,ORTHOIMAGERY,true,Image index dataset,graphe
ORTHOIMAGERY.ORTHOPHOTOS.GRAPHE-MOSAIQUAGE,ORTHOIMAGERY,true,Image index dataset,graphe_bdortho
ORTHOIMAGERY.ORTHOPHOTOS.GRAPHE.2000-2005,ORTHOIMAGERY,true,Image index dataset,graphe_bdortho
ORTHOIMAGERY.ORTHOPHOTOS.GRAPHE.2006-2010,ORTHOIMAGERY,true,Image index dataset,graphe_bdortho
ORTHOIMAGERY.ORTHOPHOTOS.GRAPHE.2011-2015,ORTHOIMAGERY,true,Image index dataset,graphe_bdortho
ORTHOIMAGERY.ORTHOPHOTOS.GRAPHE.2016-2020,ORTHOIMAGERY,true,Image index dataset,graphe_bdortho
ORTHOIMAGERY.ORTHOPHOTOS.GRAPHE.2021-2023,ORTHOIMAGERY,true,Image index dataset,graphe_bdortho
ObsForets.Gestion,,true,Waiting for MCP use case definition,part_forets_publiques_dep_2017_2021
ObsForets.Ressources,,true,Waiting for MCP use case definition,"volume_moyen_ha_dep_2018_2022|volume_sur_pied_dep_2017_2021|volume_sur_pied_region_2017_2021"
ObsForets.Ressources.TxBoisement,,true,Waiting for MCP use case definition,"taux_boisement_communal|taux_boisement_dep_2018_2022"
ObsForets.Sols,,true,Waiting for MCP use case definition,"repartition_niveaux_trophiques_2018_2022|repartition_niveaux_trophiques_toutes_campagnes"
PARKING.SUP.500,POI_ZAI,true,Waiting for MCP use case definition,parkings_sup500m2
POI.CULTURE_LOISIRS,POI_ZAI,true,Waiting for MCP use case definition,pai_culture_et_loisirs
POTENTIEL.EOLIEN.REGLEMENTAIRE,unknown,true,Fail to assign to an existing product,"cartepotentieleolien_2023_enjeu_0_metropole_drom_wgs84|cartepotentieleolien_2023_enjeu_1_metropole_drom_wgs84|cartepotentieleolien_2023_enjeu_2_metropole_drom_wgs84|cartepotentieleolien_2023_enjeu_3_metropole_drom_wgs84|cartepotentieleolien_2023_enjeu_4_metropole_wgs84|cartepotentielpetiteolien_2023_enjeu_0_drom_wgs84"
POTENTIEL.HYDRO,unknown,true,Fail to assign to an existing product,potentiel_hydroelectrique
POTENTIEL.SOLAIRE.BATIMENT,unknown,true,Fail to assign to an existing product,bati
POTENTIEL.SOLAIRE.SOL,unknown,true,Fail to assign to an existing product,pv_sol_metropole_guadeloupe_martinique
PRAIRIES.SENSIBLES.BCAE,unknown,true,Fail to assign to an existing product,prairies_sensibles
PROTECTEDAREAS.PRSF,,true,Waiting for MCP use case definition,prsf
PRSF_BDD_GLP_2023,,true,Waiting for MCP use case definition,prs_glp
PRSF_BDD_GUF_2023,,true,Waiting for MCP use case definition,prs_guf
PRSF_BDD_REU_2023,,true,Waiting for MCP use case definition,prs_reu
REPARTITION.POTENTIEL.METHANISATION.2050,unknown,true,Fail to assign to an existing product,potentiel_methanisation_2050
RPG.2010,RPG,true,Waiting for MCP use case definition,rpg_2010
RPG.2011,RPG,true,Waiting for MCP use case definition,rpg_2011
RPG.2012,RPG,true,Waiting for MCP use case definition,rpg_2012
RPG.2013,RPG,true,Waiting for MCP use case definition,rpg_2013
RPG.2014,RPG,true,Waiting for MCP use case definition,rpg_2014
RPG.2015,RPG,true,Waiting for MCP use case definition,parcelles_graphiques
RPG.2016,RPG,true,Waiting for MCP use case definition,parcelles_graphiques
RPG.2017,RPG,true,Waiting for MCP use case definition,parcelles_graphiques
RPG.2018,RPG,true,Waiting for MCP use case definition,parcelles_graphiques
RPG.2019,RPG,true,Waiting for MCP use case definition,parcelles_graphiques
RPG.2020,RPG,true,Waiting for MCP use case definition,parcelles_graphiques
RPG.2021,RPG,true,Waiting for MCP use case definition,parcelles_graphiques
RPG.2022,RPG,true,Waiting for MCP use case definition,"codes_cultures|parcelles_graphiques"
RPG.2023,RPG,true,Waiting for MCP use case definition,"codes_cultures|ilots_de_reference|parcelles_graphiques"
RPG.2024,RPG,true,Waiting for MCP use case definition,"codes_cultures|ilots_anonymes|parcelles_graphiques"
RPG.LATEST,RPG,true,Waiting for MCP use case definition,"codes_cultures|parcelles_graphiques|ilots_anonymes"
SANTE_BDD_SYMBO_FXX_WM_20171227,,true,Outdated dataset,hopitaux
SECUROUT.TE,unknown,true,Fail to assign to an existing product,"franchissement_te_lien_prescription|franchissement_te|prescription_te|troncon_te|troncon_te_lien_prescription"
STATISTICALUNITS.IRIS,IRIS,false,,contours_iris
STATISTICALUNITS.IRIS.PE,IRIS,false,,contours_iris_pe
STATISTICALUNITS.IRISGE,IRIS,false,,iris_ge
STOCK_CARBONE_REG_2015,unknown,true,Fail to assign to an existing product,stock_carbone_regions
TERAGIR,unknown,true,Fail to assign to an existing product,"clef_verte|pavillon_bleu"
TOURBIERES_ZONES-HUMIDES.BCAE,unknown,true,Fail to assign to an existing product,bcae
TRACES.RANDO.HIVERNALE,unknown,true,Fail to assign to an existing product,traces_rando_hivernale
TRANSPORTS.DRONES.RESTRICTIONS,unknown,true,Fail to assign to an existing product,carte_restriction_drones_lf
UTILIYANDGOVERNMENTALSERVICES.IGN.POI.GARES,POI_ZAI,true,Waiting for MCP use case definition,gares
UTILIYANDGOVERNMENTALSERVICES.IGN.POI.SANTE,POI_ZAI,true,Waiting for MCP use case definition,hopitaux
VIGICRUES,,true,Waiting for MCP use case definition,"stations|territoires|troncons"
VIGICRUES-INT,,true,Waiting for MCP use case definition,"stations|territoires|troncons"
VIGICRUES-QUA,,true,Waiting for MCP use case definition,"stations|territoires|troncons"
VIGICRUES-QUA-2023,,true,Waiting for MCP use case definition,"stations|territoires|troncons"
VIGICRUES_STATIONS_BDD_WLD_WM_2023-v1,,true,Waiting for MCP use case definition,referentiel
VIGICRUES_TERRITOIRES_BDD_WLD_WM_2023-v1,,true,Waiting for MCP use case definition,referentiel
VIGICRUES_TRONCONS_BDD_WLD_WM_2023-v1,,true,Waiting for MCP use case definition,referentiel
